Well,MutantMedia,PlasmidMedia,Media,StrainPlasmid,Strain,MutantPlasmid,Mutant,Plasmid
A1,DeletionGlu,YHGlu,Glu,2490YH,2490,DeletionYH,Deletion,YH
A2,DeletionSer,YHSer,Ser,2490YH,2490,DeletionYH,Deletion,YH
A3,DeletionGlu,YHGlu,Glu,2490YH,2490,DeletionYH,Deletion,YH
A4,DeletionSer,YHSer,Ser,2490YH,2490,DeletionYH,Deletion,YH
A5,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A6,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A7,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A8,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A9,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A10,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A11,NANA,NANA,NA,NANA,NA,NANA,NA,NA
A12,NANA,YHNA,NA,NAYH,NA,NAYH,NA,YH
B1,DeletionGlu,EVGlu,Glu,2490EV,2490,DeletionEV,Deletion,EV
B2,DeletionSer,EVSer,Ser,2490EV,2490,DeletionEV,Deletion,EV
B3,DeletionGlu,EVGlu,Glu,2490EV,2490,DeletionEV,Deletion,EV
B4,DeletionSer,EVSer,Ser,2490EV,2490,DeletionEV,Deletion,EV
B5,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B6,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B7,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B8,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B9,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B10,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B11,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
B12,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
C1,ControlGlu,YHGlu,Glu,2491YH,2491,ControlYH,Control,YH
C2,ControlSer,YHSer,Ser,2491YH,2491,ControlYH,Control,YH
C3,ControlGlu,YHGlu,Glu,2491YH,2491,ControlYH,Control,YH
C4,ControlSer,YHSer,Ser,2491YH,2491,ControlYH,Control,YH
C5,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C6,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C7,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C8,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C9,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C10,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C11,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
C12,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
D1,ControlGlu,EVGlu,Glu,2491EV,2491,ControlEV,Control,EV
D2,ControlSer,EVSer,Ser,2491EV,2491,ControlEV,Control,EV
D3,ControlGlu,EVGlu,Glu,2491EV,2491,ControlEV,Control,EV
D4,ControlSer,EVSer,Ser,2491EV,2491,ControlEV,Control,EV
D5,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D6,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D7,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D8,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D9,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D10,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D11,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
D12,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
E1,DeletionGlu,YHGlu,Glu,2490YH,2490,DeletionYH,Deletion,YH
E2,DeletionSer,YHSer,Ser,2490YH,2490,DeletionYH,Deletion,YH
E3,DeletionGlu,YHGlu,Glu,2490YH,2490,DeletionYH,Deletion,YH
E4,DeletionSer,YHSer,Ser,2490YH,2490,DeletionYH,Deletion,YH
E5,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E6,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E7,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E8,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E9,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E10,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E11,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
E12,DeletionNA,YHNA,NA,2490YH,2490,DeletionYH,Deletion,YH
F1,DeletionGlu,EVGlu,Glu,2490EV,2490,DeletionEV,Deletion,EV
F2,DeletionSer,EVSer,Ser,2490EV,2490,DeletionEV,Deletion,EV
F3,DeletionGlu,EVGlu,Glu,2490EV,2490,DeletionEV,Deletion,EV
F4,DeletionSer,EVSer,Ser,2490EV,2490,DeletionEV,Deletion,EV
F5,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F6,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F7,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F8,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F9,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F10,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F11,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
F12,DeletionNA,EVNA,NA,2490EV,2490,DeletionEV,Deletion,EV
G1,ControlGlu,YHGlu,Glu,2491YH,2491,ControlYH,Control,YH
G2,ControlSer,YHSer,Ser,2491YH,2491,ControlYH,Control,YH
G3,ControlGlu,YHGlu,Glu,2491YH,2491,ControlYH,Control,YH
G4,ControlSer,YHSer,Ser,2491YH,2491,ControlYH,Control,YH
G5,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G6,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G7,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G8,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G9,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G10,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G11,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
G12,ControlNA,YHNA,NA,2491YH,2491,ControlYH,Control,YH
H1,ControlGlu,EVGlu,Glu,2491EV,2491,ControlEV,Control,EV
H2,ControlSer,EVSer,Ser,2491EV,2491,ControlEV,Control,EV
H3,ControlGlu,EVGlu,Glu,2491EV,2491,ControlEV,Control,EV
H4,ControlSer,EVSer,Ser,2491EV,2491,ControlEV,Control,EV
H5,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H6,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H7,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H8,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H9,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H10,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H11,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
H12,ControlNA,EVNA,NA,2491EV,2491,ControlEV,Control,EV
