"","Well","Media","Strain","MutationPlasmid","Mutant","Plasmid"
"1","A1","Glu",2490,"Deletion-YH","Deletion","YH"
"2","A2","Ser",2490,"Deletion-YH","Deletion","YH"
"3","A3","Glu",2490,"Deletion-YH","Deletion","YH"
"4","A4","Ser",2490,"Deletion-YH","Deletion","YH"
"5","A5","As",2490,"Deletion-YH","Deletion","YH"
"6","A6","As",2490,"Deletion-YH","Deletion","YH"
"7","A7",NA,2490,"Deletion-YH","Deletion","YH"
"8","A8",NA,2490,"Deletion-YH","Deletion","YH"
"9","A9",NA,2490,"Deletion-YH","Deletion","YH"
"10","A10",NA,2490,"Deletion-YH","Deletion","YH"
"11","A11",NA,2490,"Deletion-YH","Deletion","YH"
"12","A12",NA,2490,"Deletion-YH","Deletion","YH"
"13","B1","Glu",2490,"Deletion-EV","Deletion","EV"
"14","B2","Ser",2490,"Deletion-EV","Deletion","EV"
"15","B3","Glu",2490,"Deletion-EV","Deletion","EV"
"16","B4","Ser",2490,"Deletion-EV","Deletion","EV"
"17","B5","As",2490,"Deletion-EV","Deletion","EV"
"18","B6","As",2490,"Deletion-EV","Deletion","EV"
"19","B7",NA,2490,"Deletion-EV","Deletion","EV"
"20","B8",NA,2490,"Deletion-EV","Deletion","EV"
"21","B9",NA,2490,"Deletion-EV","Deletion","EV"
"22","B10",NA,2490,"Deletion-EV","Deletion","EV"
"23","B11",NA,2490,"Deletion-EV","Deletion","EV"
"24","B12",NA,2490,"Deletion-EV","Deletion","EV"
"25","C1","Glu",2491,"Control-YH","Control","YH"
"26","C2","Ser",2491,"Control-YH","Control","YH"
"27","C3","Glu",2491,"Control-YH","Control","YH"
"28","C4","Ser",2491,"Control-YH","Control","YH"
"29","C5","As",2491,"Control-YH","Control","YH"
"30","C6","As",2491,"Control-YH","Control","YH"
"31","C7",NA,2491,"Control-YH","Control","YH"
"32","C8",NA,2491,"Control-YH","Control","YH"
"33","C9",NA,2491,"Control-YH","Control","YH"
"34","C10",NA,2491,"Control-YH","Control","YH"
"35","C11",NA,2491,"Control-YH","Control","YH"
"36","C12",NA,2491,"Control-YH","Control","YH"
"37","D1","Glu",2491,"Control-EV","Control","EV"
"38","D2","Ser",2491,"Control-EV","Control","EV"
"39","D3","Glu",2491,"Control-EV","Control","EV"
"40","D4","Ser",2491,"Control-EV","Control","EV"
"41","D5","As",2491,"Control-EV","Control","EV"
"42","D6","As",2491,"Control-EV","Control","EV"
"43","D7",NA,2491,"Control-EV","Control","EV"
"44","D8",NA,2491,"Control-EV","Control","EV"
"45","D9",NA,2491,"Control-EV","Control","EV"
"46","D10",NA,2491,"Control-EV","Control","EV"
"47","D11",NA,2491,"Control-EV","Control","EV"
"48","D12",NA,2491,"Control-EV","Control","EV"
"49","E1","Glu",2490,"Deletion-YH","Deletion","YH"
"50","E2","Ser",2490,"Deletion-YH","Deletion","YH"
"51","E3","Glu",2490,"Deletion-YH","Deletion","YH"
"52","E4","Ser",2490,"Deletion-YH","Deletion","YH"
"53","E5","As",2490,"Deletion-YH","Deletion","YH"
"54","E6","As",2490,"Deletion-YH","Deletion","YH"
"55","E7",NA,2490,"Deletion-YH","Deletion","YH"
"56","E8",NA,2490,"Deletion-YH","Deletion","YH"
"57","E9",NA,2490,"Deletion-YH","Deletion","YH"
"58","E10",NA,2490,"Deletion-YH","Deletion","YH"
"59","E11",NA,2490,"Deletion-YH","Deletion","YH"
"60","E12",NA,2490,"Deletion-YH","Deletion","YH"
"61","F1","Glu",2490,"Deletion-EV","Deletion","EV"
"62","F2","Ser",2490,"Deletion-EV","Deletion","EV"
"63","F3","Glu",2490,"Deletion-EV","Deletion","EV"
"64","F4","Ser",2490,"Deletion-EV","Deletion","EV"
"65","F5","As",2490,"Deletion-EV","Deletion","EV"
"66","F6","As",2490,"Deletion-EV","Deletion","EV"
"67","F7",NA,2490,"Deletion-EV","Deletion","EV"
"68","F8",NA,2490,"Deletion-EV","Deletion","EV"
"69","F9",NA,2490,"Deletion-EV","Deletion","EV"
"70","F10",NA,2490,"Deletion-EV","Deletion","EV"
"71","F11",NA,2490,"Deletion-EV","Deletion","EV"
"72","F12",NA,2490,"Deletion-EV","Deletion","EV"
"73","G1","Glu",2491,"Control-YH","Control","YH"
"74","G2","Ser",2491,"Control-YH","Control","YH"
"75","G3","Glu",2491,"Control-YH","Control","YH"
"76","G4","Ser",2491,"Control-YH","Control","YH"
"77","G5","As",2491,"Control-YH","Control","YH"
"78","G6","As",2491,"Control-YH","Control","YH"
"79","G7",NA,2491,"Control-YH","Control","YH"
"80","G8",NA,2491,"Control-YH","Control","YH"
"81","G9",NA,2491,"Control-YH","Control","YH"
"82","G10",NA,2491,"Control-YH","Control","YH"
"83","G11",NA,2491,"Control-YH","Control","YH"
"84","G12",NA,2491,"Control-YH","Control","YH"
"85","H1","Glu",2491,"Control-EV","Control","EV"
"86","H2","Ser",2491,"Control-EV","Control","EV"
"87","H3","Glu",2491,"Control-EV","Control","EV"
"88","H4","Ser",2491,"Control-EV","Control","EV"
"89","H5","As",2491,"Control-EV","Control","EV"
"90","H6","As",2491,"Control-EV","Control","EV"
"91","H7",NA,2491,"Control-EV","Control","EV"
"92","H8",NA,2491,"Control-EV","Control","EV"
"93","H9",NA,2491,"Control-EV","Control","EV"
"94","H10",NA,2491,"Control-EV","Control","EV"
"95","H11",NA,2491,"Control-EV","Control","EV"
"96","H12",NA,2491,"Control-EV","Control","EV"
